scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Adaptive Skills,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Overall adaptive functioning composite score
Aggression,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Externalizing,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
Anxiety,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
Attention Problems,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,ADHD/Executive,,,,rating_scale,t_score,Maintaining necessary levels of attention
Atypicality,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
Behavioral Symptoms Index,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale
Depression,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
Externalizing Problems,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Externalizing,Externalizing Problems,,,,rating_scale,t_score,Externalizing problems composite scale
Functional Communication,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Expressive and receptive communication skills and an ability to seek out and find new information independently
Hyperactivity,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Externalizing,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
Internalizing Problems,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale
Social Skills,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
Somatization,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems
Withdrawal,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoidant of social situations and appears to be capable of developing and maintaining friendships with others
Activities of Daily Living,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner
Adaptability,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptation to most situations and able to quickly recover from situations that are difficult
Adaptive Skills,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Overall adaptive functioning composite score
Aggression,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Externalizing,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
Anxiety,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
Attention Problems,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Behavioral Symptoms,ADHD/Executive,,,,rating_scale,t_score,Maintaining necessary levels of attention
Atypicality,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
Behavioral Symptoms Index,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Behavioral Symptoms,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale
Depression,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Internalizing,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
Externalizing Problems,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Externalizing,Externalizing Problems,,,,rating_scale,t_score,Externalizing problems composite scale
Functional Communication,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Expressive and receptive communication skills and an ability to seek out and find new information independently
Hyperactivity,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Externalizing,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
Internalizing Problems,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale
Social Skills,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
Somatization,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems
Withdrawal,,basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoidant of social situations and appears to be capable of developing and maintaining friendships with others
Anxiety,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
Attention Problems,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Inattention/Hyperactivity,ADHD/Executive,,,,rating_scale,t_score,Tendency to be easily distracted and unable to concentrate for an extended period of time
Attitude to School,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,"Tendency to feel alienated, hostile, or dissatisfied toward school"
Attitude to Teachers,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,Tendency to resent or dislike teachers or think they are unfair
Atypicality,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
Depression,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
Emotional Symptoms Index,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Emotional Symptoms Index,Emotion/Mood,,,,rating_scale,t_score,Emotional Symptoms Index composite scale
Hyperactivity,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Externalizing,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
Inattention/Hyperactivity,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Innattention/Hyperactivity,ADHD/Executive,,,,rating_scale,t_score,Innattention/hyperactivity composite scale
Internalizing Problems,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Internalizing Problems composite scale
Interpersonal Relations,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Personal Adjustment,Social,,,,rating_scale,t_score,Feeling liked and respected by peers
Locus of Control,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Personality,,,,rating_scale,t_score,Scale related to having little control over events occurring in his/her life and reports being blamed for things that he/she did not do
Personal Adjustment,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,"A measure of an individual's overall adjustment, including their ability to handle stress, their emotional stability, and their sense of personal competence"
Relations with Parents,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Personal Adjustment,Social,,,,rating_scale,t_score,Tendency to feel valued and supported by parents
School Problems,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,School Problems composite scale
Self-Esteem,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,"Negative self-image, both in terms of personal and physical attributes"
Self-Reliance,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,Thinking that one is dependable and being confident of one's abilities
Sensation Seeking,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,School Problems,ADHD/Executive,,,,rating_scale,t_score,Tendency to take risks and seek excitement
Sense of Inadequacy,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Personality,,,,rating_scale,t_score,Tendency to feel unsuccessful or generally inadequate
Social Stress,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Difficulty establishing and maintaining close relationships with others and reports being isolated and lonely
Somatization,,basc3_srp_adolescent,BASC-3 SRP Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Tendency to be overly sensitive or to complain about relatively minor physical problems/discomfort
Adaptability,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale_teacher,t_score,Adaptation to most situations and able to quickly recover from situations that are difficult
Adaptive Skills,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale_teacher,t_score,Overall adaptive functioning composite score
Aggression,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Externalizing,Disruptive Behavior,,,,rating_scale_teacher,t_score,Ratings of aggressive behavior and to act aggressively
Anxiety,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Emotional,,,,rating_scale_teacher,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
Attention Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,School Problems,ADHD,,,,rating_scale_teacher,t_score,Maintaining necessary levels of attention
Atypicality,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Social/Emotional,,,,rating_scale_teacher,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
Behavioral Symptoms Index,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Mixed Behavior/Emotion,,,,rating_scale_teacher,t_score,Behavioral symptoms index composite scale
Conduct Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Externalizing,Disruptive Behavior,,,,rating_scale_teacher,t_score,Rule-breaking behavior rated to conduct disorder
Depression,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Emotional,,,,rating_scale_teacher,t_score,"Excessive feelings of unhappiness, sadness, or stress"
Externalizing Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Externalizing,Disruptive Behavior,,,,rating_scale_teacher,t_score,Externalizing problems composite scale
Functional Communication,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Communication,,,,rating_scale_teacher,t_score,Effective and appropriate communication in various social situations
Hyperactivity,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Externalizing,ADHD,,,,rating_scale_teacher,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
Internalizing Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Emotional,,,,rating_scale_teacher,t_score,Internalizing problems composite scale
Leadership,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale_teacher,t_score,"Demonstration of leadership skills, such as taking initiative and guiding others"
Learning Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,School Problems,School Problems,,,,rating_scale_teacher,t_score,Learning-related difficulties in academic settings
School Problems,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,School Problems,School Problems,,,,rating_scale_teacher,t_score,Overall school functioning composite scale
Social Skills,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale_teacher,t_score,Complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
Somatization,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Internalizing,Mood/Emotional,,,,rating_scale_teacher,t_score,Health-related problems
Study Skills,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale_teacher,t_score,Study habits and skills necessary for academic success
Withdrawal,,basc3_trs_child,BASC-3 TRS Child,Behavioral/Emotional/Social,Behavioral Symptoms,Social/Emotional,,,,rating_scale_teacher,t_score,Avoidant of social situations and appears to be capable of developing and maintaining friendships with others
BDI-2 Total Score,,bdi2,BDI-2,Behavioral/Emotional/Social,Depression,Mood/Depression,,,,rating_scale,t_score,"A brief, self-report inventory designed to measure the severity of depression symptomatology"
Action,,brown_efa_observer,Brown EF/A Observer,ADHD,Action,Action (Observer),,,,rating_scale,t_score,Monitoring and self-regulating action
Activation,,brown_efa_observer,Brown EF/A Observer,ADHD,Activation,Activation (Observer),,,,rating_scale,t_score,"Organizing, prioritizing, and activating to work"
Effort,,brown_efa_observer,Brown EF/A Observer,ADHD,Effort,Effort (Observer),,,,rating_scale,t_score,"Regulating alertness, sustaining effort, and adjusting processing speed"
Emotion,,brown_efa_observer,Brown EF/A Observer,ADHD,Emotion,Emotion (Observer),,,,rating_scale,t_score,Managing frustration and modulating emotions
Focus,,brown_efa_observer,Brown EF/A Observer,ADHD,Focus,Focus (Observer),,,,rating_scale,t_score,"Focusing, sustaining, and shifting attention to tasks"
Memory,,brown_efa_observer,Brown EF/A Observer,ADHD,Memory,Memory (Observer),,,,rating_scale,t_score,Utilizing working memory and accessing recall
Total Composite,,brown_efa_observer,Brown EF/A Observer,ADHD,Overall Executive,Overall Executive (Observer),,,,rating_scale,t_score,Overall indication of executive functioning
Action,,brown_efa_self,Brown EF/A Self,ADHD,Action,Action (Self),,,,rating_scale,t_score,Monitoring and self-regulating action
Activation,,brown_efa_self,Brown EF/A Self,ADHD,Activation,Activation (Self),,,,rating_scale,t_score,"Organizing, prioritizing, and activating to work"
Effort,,brown_efa_self,Brown EF/A Self,ADHD,Effort,Effort (Self),,,,rating_scale,t_score,"Regulating alertness, sustaining effort, and adjusting processing speed"
Emotion,,brown_efa_self,Brown EF/A Self,ADHD,Emotion,Emotion (Self),,,,rating_scale,t_score,Managing frustration and modulating emotions
Focus,,brown_efa_self,Brown EF/A Self,ADHD,Focus,Focus (Self),,,,rating_scale,t_score,"Focusing, sustaining, and shifting attention to tasks"
Memory,,brown_efa_self,Brown EF/A Self,ADHD,Memory,Memory (Self),,,,rating_scale,t_score,Utilizing working memory and accessing recall
Total Composite,,brown_efa_self,Brown EF/A Self,ADHD,Overall Executive,Overall Executive (Self),,,,rating_scale,t_score,Overall indication of executive functioning
Colors,,bsra4,BSRA-4,Academic Skills,School Readiness,Colors,Sequential,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify primary colors, secondary colors, and basic color terms"
Letters,,bsra4,BSRA-4,Academic Skills,School Readiness,Letters,Sequential,Verbal,Untimed,npsych_test,percent_mastery,subtest measures the child's ability to identify uppercase and lowercase letters
Numbers/Counting,,bsra4,BSRA-4,Academic Skills,School Readiness,Numbers/Counting,Sequential,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify one-, two-, and three-digit numbers; decimals; and fractions"
School Readiness Composite (SRC),,bsra4,BSRA-4,Academic Skills,School Readiness,School Readiness Composite,,Verbal,Untimed,npsych_test,standard_score,A measure of the patient's understanding of academic and social concepts that provides an easy and reliable way to quantify overall school readiness
Self-/Social Awareness,,bsra4,BSRA-4,Academic Skills,School Readiness,Self-/Social Awareness,Knowledge,Verbal,Untimed,npsych_test,percent_mastery,"subtest, used to evaluate the patient's ability to identify concepts referencing emotional states as well as items describing kinship, relative ages, and social appropriateness"
Shapes,,bsra4,BSRA-4,Academic Skills,School Readiness,Shapes,Simultaneous,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify one-, two-, and three-dimensional shapes"
Sizes/Comparisons,,bsra4,BSRA-4,Academic Skills,School Readiness,Sizes/Comparisons,Simultaneous,Verbal,Untimed,npsych_test,percent_mastery,"The child's ability to identify one-, two-, or three-dimensional concepts as well as the ability to match, differentiate, or compare objects based on one or more of their characteristics"
ADHD Index,,caars_observer,CAARS Observer,ADHD,ADHD Index,ADHD Index (Observer),,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
DSM-5 ADHD Symptoms Total,,caars_observer,CAARS Observer,ADHD,Combined ADHD,Combined ADHD (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
